WatershedID,ParamID,Value
10040204,34,3036.78
10040204,35,1.3
10040204,37,99.976265
10040205,2,4.436031
10040205,4,322.32
10040205,5,3.0
10040205,16,5.436031
10040205,32,0.0
10040205,34,4376.08
10040205,35,0.84178746
10040205,37,1.0
10050001,2,1.4421346
10050001,4,563.37
10050001,16,2.4421346
10050001,34,2498.02
10050001,37,98.30676
10050002,2,0.058965076
10050002,4,320.8
10050002,16,1.0589651
10050002,34,5880.66
10050002,37,99.88637
10050003,2,0.0
10050003,4,290.58
10050003,16,1.0
10050003,34,1241.16
10050003,36,0.0
10050003,37,1.0
10050004,1,735.269
10050004,2,0.4312265
10050004,4,331.895
10050004,16,1.4312265
10050004,32,1.0
10050004,34,9096.47
10050004,36,1.06
10050004,37,99.99192
10050005,2,2.0228865
10050005,4,355.53
10050005,16,3.0228865
10050005,34,2090.94
10050005,37,99.9553
10050006,2,0.03541668
10050006,4,284.95474
10050006,16,1.0354167
10050006,34,2564.06
10050006,37,99.9615
10050007,2,0.00060116954
10050007,4,308.61
10050007,16,1.0006012
10050007,34,2809.22
10050007,36,0.0
10050007,37,1.0
10050008,2,0.0004964781
10050008,4,326.64
10050008,16,1.0004965
10050008,34,4450.08
10050008,36,0.0
10050008,37,1.0
10050009,2,1.9183234
10050009,4,372.11
10050009,16,2.9183235
10050009,34,1839.93
10050009,36,0.01
10050010,2,0.0028175572
10050010,4,324.87
10050010,16,1.0028175
10050010,34,2454.91
10050010,36,0.0
10050010,37,1.0
10050011,2,0.00032172713
10050011,4,304.55
10050011,16,1.0003217
10050011,34,4642.75
10050011,36,0.0
10050011,37,1.0
10050012,2,0.0290068
10050012,4,307.11
10050012,5,1.3
10050012,16,1.0290068
10050012,32,0.0
10050012,34,3897.8
10050012,35,0.8639341
10050012,37,1.0
10050013,2,0.0033580689
10050013,4,304.04
10050013,16,1.0033581
10050013,34,6227.04
10050013,36,0.0
10050013,37,1.0
10050014,2,0.68209743
10050014,4,313.18
10050014,16,1.6820974
10050014,34,4737.59
10050014,36,0.0
10050014,37,1.0
10050015,2,0.06938084
10050015,4,310.9
10050015,16,1.0693809
10050015,34,3544.86
10050015,36,0.0
10050015,37,1.0
10050016,2,0.023460666
10050016,4,300.48
10050016,16,1.0234606
10050016,34,1879.86
10050016,36,0.0
10050016,37,1.0
10060001,2,0.13293383
10060001,4,322.33
10060001,5,0.5
10060001,16,1.1329339
10060001,32,0.0
10060001,34,5244.35
10060001,35,0.86067677
10060001,37,1.0
10060002,2,0.37105295
10060002,4,320.8
10060002,5,0.5
10060002,16,1.371053
10060002,32,0.0
10060002,34,5477.86
10060002,35,0.8782491
10060002,37,1.0
10060003,2,0.019848086
10060003,4,335.79
10060003,16,1.0198481
10060003,34,6011.67
10060003,36,0.0
10060003,37,1.0
10060004,2,0.036252834
10060004,4,328.422
10060004,16,1.0362529
10060004,34,2655.17
10060004,36,0.0
10060004,37,1.0
10060005,2,0.55326176
10060005,4,341.63
10060005,5,2.0
10060005,16,1.5532618
10060005,32,0.0
10060005,34,3256.79
10060005,35,0.87573576
10060005,37,1.0
10060006,2,0.07062062
10060006,4,338.33
10060006,16,1.0706207
10060006,34,8905.55
10060006,36,0.0
10060006,37,1.0
10060007,2,0.0
10060007,4,358.394
10060007,8,3.401036
10060007,16,1.0
10060007,29,5.0
10060007,30,0.0
10060007,31,2.95
10060007,34,2724.59
10060007,36,0.0
10060007,37,1.0
10070001,2,19.805286
10070001,4,780.03
10070001,16,20.805286
10070001,34,6715.07
10070001,37,99.03567
10070002,2,13.3417425
10070002,4,586.59
10070002,16,14.3417425
10070002,34,7677.91
10070002,37,45.85
10070003,2,18.373
10070003,4,585.57
10070003,16,19.373
10070003,34,2211.9
10070003,37,36.28
10070004,2,3.5249357
10070004,4,375.16
10070004,16,4.5249357
10070004,34,4068.22
10070004,37,0.0
10070005,2,15.030615
10070005,4,701.79
10070005,16,16.030615
10070005,34,2018.38
10070005,37,53.176777
10070006,2,10.326724
10070006,4,513.33
10070006,16,11.326724
10070006,34,7233.09
10070006,37,41.52
10070007,2,1.6678096
10070007,4,353.21
10070007,5,1.8
10070007,16,2.6678095
10070007,32,0.0
10070007,34,5201.57
10070007,35,0.893425
10070007,37,1.0
10070008,2,5.482004
10070008,4,403.0
10070008,16,6.482004
10070008,34,1581.64
10070008,37,7.86
10080001,2,6.9897933
10080001,4,495.47543
10080001,16,7.9897933
10080002,2,3.4551105
10080002,4,385.83267
10080002,16,4.4551105
10080003,2,17.027529
10080003,4,486.6163
10080003,16,18.027529
10080004,2,0.14070202
10080004,4,250.9869
10080004,16,1.140702
10080005,2,0.24147573
10080005,4,263.26462
10080005,16,1.2414757
10080006,2,1.1502424
10080006,4,273.8306
10080006,16,2.1502426
10080007,2,2.114111
10080007,4,300.51917
10080007,16,3.114111
10080008,2,8.125942
10080008,4,416.46115
10080008,16,9.125942
10080009,2,4.068008
10080009,4,428.21124
10080009,16,5.068008
10080010,2,8.810035
10080010,4,382.83
10080010,16,9.810035
10080010,34,4666.64
10080010,37,34.65
10080011,2,0.066513754
10080011,4,230.89043
10080011,16,1.0665138
10080012,2,23.759436
10080012,4,733.43866
10080012,16,24.759436
10080013,2,10.883522
10080013,4,642.2162
10080013,16,11.883522
10080014,2,1.5455257
10080014,4,242.7986
10080014,16,2.5455258
10080014,34,3823.62
10080014,37,12.68
10080015,2,2.4026444
10080015,4,390.54
10080015,16,3.4026444
10080015,34,5081.77
10080015,37,0.82
10080016,2,8.573929
10080016,4,453.91
10080016,16,9.573929
10080016,34,3359.4
10080016,37,18.39
10090101,2,9.377925
10090101,4,453.9
10090101,5,12.4
10090101,16,10.377925
10090101,34,6566.17
10090101,35,0.9885391
10090101,37,81.5957
10090102,1,1004.6336
10090102,2,5.4403257
10090102,4,362.46
10090102,5,8.7
10090102,15,1004.6336
10090102,16,6.4403257
10090102,34,7440.84
10090102,35,0.9091145
10090102,37,1.0
10090201,2,7.538371
10090201,4,391.23752
10090201,16,8.538371
10090202,2,0.2583504
10090202,4,353.73578
10090202,16,1.2583504
10090203,2,0.5983409
10090203,4,292.02075
10090203,16,1.5983409
10090204,2,0.50441563
10090204,4,328.26886
10090204,16,1.5044156
10090205,2,6.535799
10090205,4,371.95444
10090205,16,7.535799
10090206,2,7.730301
10090206,4,460.37585
10090206,16,8.730301
10090207,2,4.1679554
10090207,4,353.57
10090207,5,0.0
10090207,16,5.1679554
10090207,34,2751.36
10090207,35,0.9006263
10090207,37,1.0
10090208,2,1.4207445
10090208,4,370.08
10090208,5,2.6
10090208,16,2.4207447
10090208,34,5256.24
10090208,35,0.9434702
10090208,37,1.0
10090209,2,1.4849019
10090209,4,353.82
10090209,5,4.9
10090209,16,2.484902
10090209,34,4861.92
10090209,35,0.920106
10090209,37,1.0
10090210,2,1.0337135
10090210,4,354.58
10090210,5,1.6
10090210,16,2.0337133
10090210,34,2081.4
10090210,35,0.90496516
10090210,37,1.0
10100001,2,2.3527954
10100001,4,335.03
10100001,5,0.7
10100001,16,3.3527954
10100001,34,12444.76
10100001,35,0.8896843
10100001,37,1.0
10100002,2,0.12943569
10100002,4,326.64
10100002,5,1.0
10100002,16,1.1294357
10100002,32,0.0
10100002,34,2260.4
10100002,35,0.88485837
10100002,37,1.0
10100003,2,6.453146
10100003,4,392.18
10100003,5,9.4
10100003,16,7.453146
10100003,34,3387.45
10100003,35,0.9686273
10100003,37,1.0
10100004,2,1.0735344
10100004,4,344.68
10100004,5,0.0
10100004,16,2.0735345
10100004,34,13794.83
10100004,35,1.17
10100004,37,1.0
10100005,2,0.3431033
10100005,4,355.96
10100005,5,0.4
10100005,16,1.3431033
10100005,25,6.7
10100005,33,3.0
10100005,34,4091.76
10100005,35,0.94570935
10100005,37,1.0
10110101,2,0.0
10110101,4,488.05548
10110101,16,1.0
10110102,2,0.0
10110102,4,447.1372
10110102,16,1.0
10110201,2,0.7502125
10110201,4,385.83
10110201,5,0.6
10110201,16,1.7502124
10110201,34,8994.32
10110201,35,0.96968263
10110201,37,1.0
10110202,2,0.95901227
10110202,4,368.81
10110202,5,0.8
10110202,16,1.9590123
10110202,34,3091.64
10110202,35,0.9651398
10110202,37,1.0
10110203,2,0.0
10110203,4,367.79
10110203,5,3.4
10110203,16,1.0
10110203,34,5628.26
10110203,35,0.97196436
10110203,37,1.0
10110204,2,0.76072526
10110204,4,369.06
10110204,5,0.0
10110204,16,1.7607253
10110204,34,2257.87
10110204,35,0.95212275
10110204,37,1.0
10110205,2,0.0
10110205,4,479.68524
10110205,16,1.0
10120101,2,0.40517658
10120101,4,339.88757
10120101,16,1.4051766
10120102,2,0.041615773
10120102,4,318.44666
10120102,16,1.0416157
10120103,2,0.43494958
10120103,4,352.3988
10120103,16,1.4349495
10120104,2,1.637899
10120104,4,395.83063
10120104,16,2.637899
10120105,2,0.6253748
10120105,4,340.1409
10120105,16,1.6253748
10120106,2,3.5564148
10120106,4,438.22842
10120106,16,4.5564146
10120106,34,3632.48
10120107,2,11.840059
10120107,4,455.66852
10120107,16,12.840059
10120107,34,4311.81
10120108,2,1.4394982
10120108,4,455.97992
10120108,16,2.4394982
10120108,34,2507.49
10120109,2,14.735987
10120109,4,513.4757
10120109,16,15.735987
10120109,34,5499.86
10120110,2,15.593035
10120110,4,536.2421
10120110,16,16.593035
10120110,34,1852.3
10120111,2,6.3298144
10120111,4,490.03726
10120111,8,22.3
10120111,16,7.3298144
10120111,34,4088.64
10120112,2,1.0224397
10120112,4,484.3954
10120112,16,2.0224397
10120112,34,4197.75
10120113,2,0.10820235
10120113,4,479.44278
10120113,16,1.1082023
10120113,34,4797.04
10120201,2,4.057908
10120201,4,441.24326
10120201,16,5.057908
10120201,34,7607.59
10120202,2,2.426381
10120202,4,426.72
10120202,5,0.0
10120202,16,3.426381
10120202,34,8408.18
10120202,35,1.0071342
10120202,37,99.42832
10120203,2,29.968233
10120203,4,610.61755
10120203,8,10.9
10120203,16,30.968233
10120203,34,2721.42
10130101,2,0.0
10130101,4,520.62146
10130101,16,1.0
10130102,2,0.30229178
10130102,4,499.33527
10130102,16,1.3022918
10130102,34,9418.1
10130103,2,0.0
10130103,4,505.24936
10130103,16,1.0
10130104,2,0.0
10130104,4,496.96497
10130104,16,1.0
10130105,2,0.013534337
10130105,4,485.31442
10130105,16,1.0135343
10130105,34,9927.5
10130106,2,0.016622934
10130106,4,485.1323
10130106,16,1.0166229
10130106,34,4213.68
10130201,2,0.0
10130201,4,507.49936
10130201,16,1.0
10130202,2,0.0
10130202,4,488.31454
10130202,16,1.0
10130203,2,0.0
10130203,4,523.30054
10130203,16,1.0
10130204,2,0.0
10130204,4,490.59488
10130204,16,1.0
10130205,2,0.0
10130205,4,499.49033
10130205,16,1.0
10130205,34,4626.17
10130206,2,0.0
10130206,4,516.40375
10130206,16,1.0
10130301,2,0.15187074
10130301,4,477.08502
10130301,16,1.1518707
10130301,34,3227.0
10130302,2,0.3354711
10130302,4,468.1205
10130302,16,1.3354712
10130302,34,4518.6
10130303,2,0.20239143
10130303,4,505.41687
10130303,16,1.2023914
10130303,34,6207.5
10130304,2,0.23644671
10130304,4,459.3579
10130304,16,1.2364467
10130304,34,2624.57
10130305,2,0.44971943
10130305,4,473.44333
10130305,16,1.4497194
10130305,34,4061.28
10130306,2,0.085521914
10130306,4,492.67734
10130306,16,1.0855219
10130306,34,6884.46
10140101,2,0.0
10140101,4,563.23224
10140101,16,1.0
10140101,34,11052.74
10140102,2,0.03670464
10140102,4,485.08878
10140102,16,1.0367047
10140102,34,8225.9
10140103,2,0.0056085517
10140103,4,515.2105
10140103,16,1.0056086
10140103,34,2170.31
10140104,2,0.07239746
10140104,4,526.48505
10140104,16,1.0723975
10140104,34,1794.65
10140105,2,0.17463301
10140105,4,559.90936
10140105,16,1.174633
10140105,34,3019.35
10140201,2,3.2525864
10140201,4,498.23492
10140201,16,4.2525864
10140201,34,9801.58
10140202,2,1.194616
10140202,4,501.37955
10140202,16,2.194616
10140202,34,6301.74
10140203,2,1.221837
10140203,4,521.74646
10140203,16,2.221837
10140203,34,4209.72
10140204,2,0.26001063
10140204,4,544.6162
10140204,16,1.2600106
10140204,34,5455.13
10150001,2,0.0
10150001,4,624.8206
10150001,16,1.0
10150002,2,0.37853545
10150002,4,423.20648
10150002,16,1.3785354
10150003,2,0.08871588
10150003,4,489.0713
10150003,16,1.0887159
10150003,34,10753.28
10150004,2,1.3727745
10150004,4,564.99554
10150004,16,2.3727744
10150004,34,9809.29
10150005,2,0.0
10150005,4,553.9144
10150005,16,1.0
10150006,2,0.0
10150006,4,558.41956
10150006,16,1.0
10150006,34,4464.24
10150007,2,0.0
10150007,4,643.3959
10150007,16,1.0
10160001,2,0.0
10160001,4,488.2485
10160001,16,1.0
10160002,2,0.0
10160002,4,490.12064
10160002,16,1.0
10160003,2,0.20364986
10160003,4,539.4583
10160003,16,1.2036499
10160003,34,11583.36
10160004,2,0.2377136
10160004,4,529.1881
10160004,16,1.2377136
10160004,34,4010.43
10160005,2,0.19378519
10160005,4,559.6371
10160005,16,1.1937852
10160005,34,2170.91
10160006,2,0.20550309
10160006,4,579.91406
10160006,16,1.2055031
10160006,34,9603.8
10160007,2,0.055622183
10160007,4,501.4433
10160007,16,1.0556222
10160007,34,2480.41
10160008,2,0.07218899
10160008,4,523.0839
10160008,16,1.072189
10160008,34,4409.24
10160009,2,0.08171846
10160009,4,554.92694
10160009,16,1.0817184
10160009,34,3887.13
10160011,2,0.3040984
10160011,4,624.17126
10160011,16,1.3040984
10160011,34,9428.56
10170101,2,0.0
10170101,4,667.5891
10170101,16,1.0
10170101,34,8363.48
10170102,2,0.35849467
10170102,4,671.8838
10170102,16,1.3584946
10170102,34,5487.52
10170103,2,0.31987733
10170103,4,626.1247
10170103,16,1.3198774
10170103,34,1237.93
10170201,2,0.29842934
10170201,4,574.7337
10170201,16,1.2984294
10170201,34,4229.55
10170202,2,0.317532
10170202,4,628.10925
10170202,16,1.3175321
10170202,34,5473.69
10170203,2,0.77954274
10170203,4,710.2949
10170203,16,1.7795427
10170203,34,8854.54
10170204,2,0.246641
10170204,4,744.64905
10170204,16,1.246641
10180001,1,2702.0
10180001,2,22.760607
10180001,4,580.0
10180001,10,13.56034
10180001,12,20.588
10180001,16,23.760607
10180001,18,10.598
10180001,19,132.91402
10180001,25,14.0
10180002,1,2500.0
10180002,2,15.099614
10180002,4,511.60214
10180002,10,29.06574
10180002,12,20.498
10180002,16,16.099613
10180002,18,12.992
10180002,19,100.63274
10180002,25,14.0
10180003,2,1.7583232
10180003,4,313.08948
10180003,16,2.7583232
10180004,2,4.456956
10180004,4,401.91443
10180004,16,5.456956
10180005,2,2.0378666
10180005,4,334.83994
10180005,16,3.0378666
10180006,2,2.8574526
10180006,4,308.02777
10180006,16,3.8574526
10180007,2,3.7779949
10180007,4,352.5466
10180007,16,4.777995
10180008,2,7.6202636
10180008,4,378.53943
10180008,16,8.620263
10180009,2,0.18150249
10180009,4,431.99808
10180009,16,1.1815025
10180010,1,2800.0
10180010,2,9.884347
10180010,4,658.0
10180010,10,25.66828
10180010,12,23.216
10180010,16,10.884347
10180010,18,10.58
10180010,19,79.22533
10180010,25,19.0
10180011,2,2.990454
10180011,4,408.2218
10180011,16,3.990454
10180012,2,0.3335653
10180012,4,439.53522
10180012,16,1.3335652
10180013,2,0.88516074
10180013,4,435.862
10180013,16,1.8851607
10180014,2,0.053253267
10180014,4,510.756
10180014,16,1.0532533
10190001,2,17.55314
10190001,4,445.09088
10190001,10,13.959572
10190001,12,26.006
10190001,16,18.55314
10190001,18,7.304
10190001,19,83.809265
10190002,1,2068.373
10190002,2,29.986954
10190002,4,520.7
10190002,10,27.656729
10190002,12,32.756
10190002,16,30.986954
10190002,18,8.348
10190002,19,88.715294
10190002,23,2.8938522
10190002,25,14.7
10190003,2,0.46206096
10190003,4,429.2124
10190003,10,1.1148932
10190003,12,32.756
10190003,16,1.4620609
10190003,18,26.204
10190003,19,165.10081
10190003,23,79.75
10190003,39,17.64
10190003,40,1307.592
10190004,1,2716.378
10190004,2,27.919043
10190004,4,580.39
10190004,10,26.595701
10190004,12,32.558
10190004,16,28.919043
10190004,18,7.898
10190004,19,78.95973
10190004,23,2.8959444
10190004,25,32.0
10190005,1,2713.0
10190005,2,26.402412
10190005,4,701.0
10190005,10,20.638525
10190005,12,33.368
10190005,16,27.402412
10190005,18,9.482
10190005,19,111.20779
10190005,23,3.3562715
10190005,25,33.0
10190006,1,2754.0
10190006,2,22.711075
10190006,4,667.0
10190006,10,21.301409
10190006,12,32.792
10190006,16,23.711075
10190006,18,8.924
10190006,19,100.21685
10190006,25,38.0
10190007,1,2564.0
10190007,2,13.801842
10190007,4,540.0
10190007,10,15.327425
10190007,12,31.838
10190007,16,14.801842
10190007,18,8.924
10190007,19,109.996254
10190007,25,24.0
10190008,2,0.07137681
10190008,4,404.73074
10190008,10,0.011340635
10190008,12,28.454
10190008,16,1.0713768
10190008,18,27.446
10190008,19,164.15579
10190009,2,0.68275017
10190009,4,409.4289
10190009,10,0.017515464
10190009,12,28.616
10190009,16,1.6827502
10190009,18,27.068
10190009,19,171.63281
10190010,2,0.8254989
10190010,4,460.49335
10190010,10,1.7868047
10190010,12,30.83
10190010,16,1.8254989
10190010,18,26.24
10190010,19,181.52849
10190010,23,3.3039408
10190011,2,0.7676021
10190011,4,445.9356
10190011,10,0.7610132
10190011,12,30.2
10190011,16,1.7676021
10190011,18,26.852
10190011,19,173.8664
10190012,2,0.026139177
10190012,4,435.68884
10190012,10,0.034171738
10190012,12,28.634
10190012,16,1.0261391
10190012,18,26.924
10190012,19,164.69519
10190013,2,0.035261538
10190013,4,424.39594
10190013,10,0.062338762
10190013,12,28.58
10190013,16,1.0352615
10190013,18,26.672
10190013,19,202.56511
10190014,2,0.008960674
10190014,4,418.18008
10190014,10,0.009066631
10190014,12,28.274
10190014,16,1.0089607
10190014,18,27.104
10190014,19,183.33354
10190015,2,0.5161317
10190015,4,428.22052
10190015,10,0.029954992
10190015,12,28.166
10190015,16,1.5161316
10190015,18,27.446
10190015,19,210.95145
10190016,2,0.010535973
10190016,4,463.30362
10190016,10,0.004994463
10190016,12,27.842
10190016,16,1.010536
10190016,18,27.302
10190016,19,186.09657
10190017,2,0.0014878818
10190017,4,440.5042
10190017,10,0.001787121
10190017,12,27.77
10190017,16,1.0014879
10190017,18,27.104
10190017,19,176.23087
10190018,2,0.053428613
10190018,4,487.07437
10190018,10,0.053467073
10190018,12,27.932
10190018,16,1.0534286
10190018,18,27.176
10190018,19,175.83884
10200101,2,0.12511949
10200101,4,575.87805
10200101,16,1.1251194
10200102,2,0.0
10200102,4,600.2168
10200102,16,1.0
10200103,2,0.0
10200103,4,677.4414
10200103,16,1.0
10200201,2,0.0
10200201,4,712.3063
10200201,16,1.0
10200202,2,0.0
10200202,4,822.4241
10200202,16,1.0
10200203,2,0.0
10200203,4,794.77527
10200203,16,1.0
10210001,2,0.0
10210001,4,541.82874
10210001,16,1.0
10210002,2,0.0
10210002,4,547.8851
10210002,16,1.0
10210003,2,0.0
10210003,4,601.9884
10210003,16,1.0
10210004,2,0.0
10210004,4,588.91547
10210004,16,1.0
10210005,2,0.0
10210005,4,591.5787
10210005,16,1.0
10210006,2,0.044948403
10210006,4,587.7232
10210006,16,1.0449485
10210007,2,0.0
10210007,4,608.24945
10210007,16,1.0
10210008,2,0.0
10210008,4,604.29535
10210008,16,1.0
10210009,2,0.0
10210009,4,643.5263
10210009,16,1.0
10210010,2,0.0
10210010,4,623.09106
10210010,16,1.0
10220001,2,0.0
10220001,4,636.4213
10220001,16,1.0
10220002,2,0.0
10220002,4,672.65045
10220002,16,1.0
10220003,2,0.0
10220003,4,731.0564
10220003,16,1.0
10220004,2,0.0
10220004,4,731.3698
10220004,16,1.0
10230001,2,1.5078381
10230001,4,796.3262
10230001,16,2.5078382
10230001,34,4166.71
10230002,2,0.228167
10230002,4,752.4437
10230002,16,1.228167
10230003,2,1.0972307
10230003,4,776.36224
10230003,16,2.0972307
10230004,2,0.320146
10230004,4,799.6994
10230004,16,1.320146
10230005,2,0.71191955
10230005,4,820.8874
10230005,16,1.7119195
10230006,2,2.1245441
10230006,4,847.54736
10230006,16,3.1245441
10230007,2,1.2398424
10230007,4,862.80206
10230007,16,2.2398424
10240001,2,0.0
10240001,4,859.8359
10240001,16,1.0
10240002,2,0.47539324
10240002,4,890.23883
10240002,16,1.4753932
10240003,2,0.40834412
10240003,4,907.3799
10240003,16,1.4083441
10240004,2,3.5447338
10240004,4,847.4712
10240004,16,4.5447335
10240005,2,2.7531998
10240005,4,885.92633
10240005,16,3.7531998
10240006,2,0.0
10240006,4,817.7595
10240006,16,1.0
10240007,2,3.396885
10240007,4,812.7961
10240007,16,4.396885
10240008,2,0.0
10240008,4,818.16125
10240008,16,1.0
10240009,2,1.8975822
10240009,4,928.6195
10240009,16,2.897582
10240010,2,2.4681244
10240010,4,928.24286
10240010,16,3.4681244
10240011,2,9.12682
10240011,4,928.4707
10240011,16,10.12682
10240012,2,5.193939
10240012,4,966.8664
10240012,16,6.193939
10240013,2,3.5076752
10240013,4,956.4417
10240013,16,4.507675
10250001,2,0.017715806
10250001,4,428.6508
10250001,10,0.007576254
10250001,12,29.246
10250001,16,1.0177158
10250001,18,27.698
10250001,19,212.51138
10250002,2,0.0150039345
10250002,4,440.94965
10250002,10,0.004597753
10250002,12,29.102
10250002,16,1.0150039
10250002,18,27.914
10250002,19,174.18512
10250003,2,0.010636908
10250003,4,444.29416
10250003,10,0.01176447
10250003,12,29.768
10250003,16,1.0106369
10250003,18,28.13
10250003,19,242.03465
10250004,2,0.0103892265
10250004,4,507.64075
10250004,16,1.0103892
10250005,2,0.01110388
10250005,4,470.67352
10250005,10,0.005684812
10250005,12,28.508
10250005,16,1.0111039
10250005,18,27.77
10250005,19,207.66798
10250006,2,0.012024632
10250006,4,487.2273
10250006,10,0.003238882
10250006,12,28.148
10250006,16,1.0120246
10250006,18,27.446
10250006,19,224.4903
10250007,2,0.01714067
10250007,4,512.41705
10250007,16,1.0171406
10250008,2,0.44913062
10250008,4,518.80365
10250008,16,1.4491307
10250009,2,0.0
10250009,4,566.69806
10250009,16,1.0
10250010,2,0.018502407
10250010,4,473.8507
10250010,16,1.0185024
10250011,2,0.015523061
10250011,4,535.07874
10250011,16,1.0155231
10250012,2,0.0019790316
10250012,4,454.77814
10250012,10,0.00273349
10250012,12,29.66
10250012,16,1.001979
10250012,18,29.354
10250012,19,266.27008
10250013,2,0.0038603407
10250013,4,463.4269
10250013,10,0.00502532
10250013,12,29.57
10250013,16,1.0038604
10250013,18,29.21
10250013,19,271.9164
10250014,2,0.009153353
10250014,4,529.9568
10250014,16,1.0091534
10250015,2,0.02959424
10250015,4,519.3479
10250015,16,1.0295942
10250016,2,1.0711524
10250016,4,656.2141
10250016,16,2.0711524
10250017,2,2.1752512
10250017,4,743.88495
10250017,16,3.1752512
10260001,2,0.009850738
10260001,4,436.6828
10260001,10,0.000214818
10260001,12,30.128
10260001,16,1.0098507
10260001,18,29.282
10260001,19,269.597
10260002,2,0.005454996
10260002,4,442.00482
10260002,10,0.000411714
10260002,12,29.804
10260002,16,1.005455
10260002,18,28.994
10260002,19,266.06003
10260003,2,0.02230939
10260003,4,474.5002
10260003,16,1.0223094
10260004,2,0.017395888
10260004,4,433.2726
10260004,10,0.000149609
10260004,12,30.146
10260004,16,1.0173959
10260004,18,29.444
10260004,19,287.3481
10260005,2,0.043353282
10260005,4,478.49542
10260005,16,1.0433533
10260006,2,0.8207244
10260006,4,578.378
10260006,16,1.8207244
10260007,2,0.06704051
