VegetationID,EpochID,Name,DefaultSuitability,LandUseID,Physiognomy,Notes
461,2,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest - Cedar Groves,3,,,
462,2,Rocky Mountain Foothill Limber Pine-Juniper Woodland,2,,,
463,2,Northern Rocky Mountain Ponderosa Pine Woodland and Savanna,2,,,
464,2,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,2,,,
465,2,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,3,,,
466,2,Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland,2,,,
467,2,Rocky Mountain Alpine Dwarf-Shrubland,1,,,
468,2,Inter-Mountain Basins Big Sagebrush Shrubland,2,,,
469,2,Inter-Mountain Basins Mixed Salt Desert Scrub,1,,,
470,2,Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,3,,,
471,2,Inter-Mountain Basins Juniper Savanna,2,,,
472,2,Columbia Plateau Low Sagebrush Steppe,1,,,
473,2,Inter-Mountain Basins Big Sagebrush Steppe,2,,,
474,2,Inter-Mountain Basins Montane Sagebrush Steppe,2,,,
475,2,Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland,1,,,
476,2,Northern Rocky Mountain Subalpine-Upper Montane Grassland,1,,,
477,2,Rocky Mountain Alpine Fell-Field,1,,,
478,2,Rocky Mountain Alpine Turf,1,,,
479,2,Rocky Mountain Subalpine-Montane Mesic Meadow,2,,,
480,2,Inter-Mountain Basins Greasewood Flat,1,,,
481,2,Inter-Mountain Basins Montane Riparian Systems,4,,,
482,2,Rocky Mountain Montane Riparian Systems,4,,,
483,2,Rocky Mountain Subalpine/Upper Montane Riparian Systems,4,,,
484,2,Northern Rocky Mountain Conifer Swamp,4,,,
485,2,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland,3,,,
486,2,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland - Fire-maintained Savanna,2,,,
487,2,Rocky Mountain Poor-Site Lodgepole Pine Forest,2,,,
488,2,Inter-Mountain Basins Sparsely Vegetated Systems,0,,,
489,2,North American Warm Desert Sparsely Vegetated Systems,0,,,
490,2,Rocky Mountain Alpine/Montane Sparsely Vegetated Systems,0,,,
491,2,Colorado Plateau Pinyon-Juniper Woodland,2,,,
492,2,Great Basin Pinyon-Juniper Woodland,2,,,
493,2,Inter-Mountain Basins Subalpine Limber-Bristlecone Pine Woodland,2,,,
494,2,Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland,2,,,
495,2,Southern Rocky Mountain Ponderosa Pine Woodland,2,,,
496,2,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland,3,,,
497,2,Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland,2,,,
498,2,Great Basin Xeric Mixed Sagebrush Shrubland,2,,,
499,2,Inter-Mountain Basins Big Sagebrush Shrubland,2,,,
500,2,Inter-Mountain Basins Mixed Salt Desert Scrub,1,,,
501,2,Mojave Mid-Elevation Mixed Desert Scrub,1,,,
502,2,Rocky Mountain Lower Montane-Foothill Shrubland,3,,,
503,2,Sonora-Mojave Creosotebush-White Bursage Desert Scrub,1,,,
504,2,Sonora-Mojave Mixed Salt Desert Scrub,1,,,
505,2,Sonoran Mid-Elevation Desert Scrub,1,,,
506,2,Southern Colorado Plateau Sand Shrubland,0,,,
507,2,Colorado Plateau Pinyon-Juniper Shrubland,2,,,
508,2,Great Basin Semi-Desert Chaparral,1,,,
509,2,Mogollon Chaparral,1,,,
510,2,Rocky Mountain Gambel Oak-Mixed Montane Shrubland,3,,,
511,2,Sonora-Mojave Semi-Desert Chaparral,0,,,
512,2,Sonoran Paloverde-Mixed Cacti Desert Scrub,1,,,
513,2,Inter-Mountain Basins Juniper Savanna,2,,,
514,2,Southern Rocky Mountain Ponderosa Pine Savanna,2,,,
515,2,Inter-Mountain Basins Big Sagebrush Steppe,2,,,
516,2,Inter-Mountain Basins Montane Sagebrush Steppe,1,,,
517,2,Inter-Mountain Basins Semi-Desert Shrub-Steppe,0,,,
518,2,Inter-Mountain Basins Semi-Desert Grassland,1,,,
519,2,Rocky Mountain Subalpine-Montane Mesic Meadow,1,,,
520,2,Inter-Mountain Basins Greasewood Flat,1,,,
521,2,Inter-Mountain Basins Montane Riparian Systems,4,,,
522,2,North American Warm Desert Riparian Systems,4,,,
523,2,North American Warm Desert Riparian Systems - Stringers,4,,,
524,2,Rocky Mountain Montane Riparian Systems,4,,,
525,2,North American Warm Desert Sparsely Vegetated Systems,0,,,
526,2,Colorado Plateau Pinyon-Juniper Woodland,2,,,
527,2,Great Basin Pinyon-Juniper Woodland,2,,,
528,2,Madrean Encinal,0,,,
529,2,Madrean Lower Montane Pine-Oak Forest and Woodland,0,,,
530,2,Madrean Pinyon-Juniper Woodland,2,,,
531,2,Southern Rocky Mountain Ponderosa Pine Woodland,2,,,
532,2,Inter-Mountain Basins Big Sagebrush Shrubland,2,,,
533,2,Mojave Mid-Elevation Mixed Desert Scrub,0,,,
534,2,Sonora-Mojave Creosotebush-White Bursage Desert Scrub,0,,,
535,2,Sonora-Mojave Mixed Salt Desert Scrub,1,,,
536,2,Sonoran Granite Outcrop Desert Scrub,0,,,
537,2,Sonoran Mid-Elevation Desert Scrub,0,,,
538,2,Mogollon Chaparral,1,,,
539,2,Sonora-Mojave Semi-Desert Chaparral,0,,,
540,2,Sonoran Paloverde-Mixed Cacti Desert Scrub,0,,,
541,2,Inter-Mountain Basins Juniper Savanna,2,,,
542,2,Apacherian-Chihuahuan Semi-Desert Grassland and Steppe,1,,,
543,2,Inter-Mountain Basins Semi-Desert Shrub-Steppe,0,,,
544,2,Inter-Mountain Basins Semi-Desert Grassland,1,,,
545,2,North American Warm Desert Riparian Systems,0,,,
546,2,North American Warm Desert Riparian Systems - Stringers,0,,,
547,2,North Pacific Oak Woodland,3,,,
548,2,California Coastal Redwood Forest,2,,,
549,2,Klamath-Siskiyou Lower Montane Serpentine Mixed Conifer Woodland,2,,,
550,2,Klamath-Siskiyou Upper Montane Serpentine Mixed Conifer Woodland,2,,,
551,2,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,2,,,
552,2,Mediterranean California Mesic Mixed Conifer Forest and Woodland,2,,,
553,2,Mediterranean California Mixed Oak Woodland,3,,,
554,2,Mediterranean California Lower Montane Black Oak-Conifer Forest and Woodland,2,,,
555,2,California Montane Jeffrey Pine(-Ponderosa Pine) Woodland,2,,,
556,2,Mediterranean California Red Fir Forest,2,,,
557,2,Mediterranean California Subalpine Woodland,2,,,
558,2,North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,2,,,
559,2,Mediterranean California Mixed Evergreen Forest,2,,,
560,2,Northern California Mesic Subalpine Woodland,2,,,
561,2,California Maritime Chaparral,0,,,
562,2,California Mesic Chaparral,1,,,
563,2,California Montane Woodland and Chaparral,1,,,
564,2,California Xeric Serpentine Chaparral,1,,,
565,2,Northern and Central California Dry-Mesic Chaparral,1,,,
566,2,California Coastal Live Oak Woodland and Savanna,3,,,
567,2,California Lower Montane Blue Oak-Foothill Pine Woodland and Savanna,3,,,
568,2,Northern California Coastal Scrub,1,,,
569,2,California Mesic Serpentine Grassland,1,,,
570,2,California Northern Coastal Grassland,1,,,
571,2,Mediterranean California Subalpine Meadow,1,,,
572,2,North Pacific Montane Grassland,1,,,
573,2,California Montane Riparian Systems,4,,,
574,2,Pacific Coastal Marsh Systems,1,,,
575,2,Klamath-Siskiyou Xeromorphic Serpentine Savanna and Chaparral,2,,,
576,2,California Coastal Closed-Cone Conifer Forest and Woodland,2,,,
577,2,Inter-Mountain Basins Sparsely Vegetated Systems,0,,,
578,2,Mediterranean California Sparsely Vegetated Systems,0,,,
579,2,Rocky Mountain Aspen Forest and Woodland,4,,,
580,2,Columbia Plateau Western Juniper Woodland and Savanna,2,,,
581,2,Great Basin Pinyon-Juniper Woodland,2,,,
582,2,Inter-Mountain Basins Subalpine Limber-Bristlecone Pine Woodland,2,,,
583,2,Klamath-Siskiyou Lower Montane Serpentine Mixed Conifer Woodland,2,,,
584,2,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,2,,,
585,2,Mediterranean California Mesic Mixed Conifer Forest and Woodland,2,,,
586,2,Mediterranean California Mixed Oak Woodland,3,,,
587,2,Mediterranean California Lower Montane Black Oak-Conifer Forest and Woodland,2,,,
588,2,California Montane Jeffrey Pine(-Ponderosa Pine) Woodland,2,,,
589,2,Mediterranean California Red Fir Forest - Cascades,2,,,
590,2,Mediterranean California Red Fir Forest - Southern Sierra,2,,,
591,2,Mediterranean California Subalpine Woodland,2,,,
592,2,Mediterranean California Mesic Serpentine Woodland and Chaparral,1,,,
593,2,Mediterranean California Mixed Evergreen Forest,2,,,
594,2,Northern California Mesic Subalpine Woodland,2,,,
595,2,Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland,2,,,
596,2,Sierra Nevada Subalpine Lodgepole Pine Forest and Woodland - Wet,2,,,
597,2,Sierra Nevada Subalpine Lodgepole Pine Forest and Woodland - Dry,2,,,
598,2,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland,3,,,
599,2,Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland,2,,,
600,2,Mediterranean California Alpine Fell-Field,1,,,
601,2,Sierra Nevada Alpine Dwarf-Shrubland,1,,,
602,2,Great Basin Xeric Mixed Sagebrush Shrubland,2,,,
603,2,Inter-Mountain Basins Big Sagebrush Shrubland,2,,,
604,2,Inter-Mountain Basins Mixed Salt Desert Scrub,1,,,
605,2,Mojave Mid-Elevation Mixed Desert Scrub,1,,,
606,2,Sonora-Mojave Creosotebush-White Bursage Desert Scrub,1,,,
607,2,California Mesic Chaparral,1,,,
608,2,California Montane Woodland and Chaparral,1,,,
609,2,Great Basin Semi-Desert Chaparral,1,,,
610,2,Northern and Central California Dry-Mesic Chaparral,1,,,
611,2,California Lower Montane Blue Oak-Foothill Pine Woodland and Savanna,3,,,
612,2,Inter-Mountain Basins Big Sagebrush Steppe,2,,,
613,2,Inter-Mountain Basins Montane Sagebrush Steppe,2,,,
614,2,Mediterranean California Alpine Dry Tundra,1,,,
615,2,Mediterranean California Subalpine Meadow,1,,,
616,2,North Pacific Montane Grassland,1,,,
617,2,California Montane Riparian Systems,4,,,
618,2,Inter-Mountain Basins Greasewood Flat,1,,,
619,2,Inter-Mountain Basins Montane Riparian Systems,4,,,
620,2,Inter-Mountain Basins Sparsely Vegetated Systems,0,,,
621,2,Rocky Mountain Alpine/Montane Sparsely Vegetated Systems,0,,,
622,2,Rocky Mountain Aspen Forest and Woodland,4,,,
623,2,Columbia Plateau Western Juniper Woodland and Savanna,2,,,
624,2,Great Basin Pinyon-Juniper Woodland,2,,,
625,2,Inter-Mountain Basins Subalpine Limber-Bristlecone Pine Woodland,2,,,
626,2,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest,2,,,
627,2,Northern Rocky Mountain Subalpine Woodland and Parkland,2,,,
628,2,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest,2,,,
629,2,Northern Rocky Mountain Ponderosa Pine Woodland and Savanna - Mesic,2,,,
630,2,Northern Rocky Mountain Ponderosa Pine Woodland and Savanna - Xeric,2,,,
631,2,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,2,,,
632,2,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,2,,,
633,2,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland,3,,,
634,2,Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland,2,,,
635,2,Columbia Plateau Scabland Shrubland,1,,,
636,2,Great Basin Xeric Mixed Sagebrush Shrubland,2,,,
637,2,Inter-Mountain Basins Big Sagebrush Shrubland,2,,,
638,2,Inter-Mountain Basins Mixed Salt Desert Scrub,1,,,
639,2,Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,3,,,
640,2,Columbia Plateau Steppe and Grassland,1,,,
641,2,Columbia Plateau Low Sagebrush Steppe,1,,,
642,2,Inter-Mountain Basins Big Sagebrush Steppe,2,,,
643,2,Inter-Mountain Basins Montane Sagebrush Steppe,2,,,
644,2,Inter-Mountain Basins Semi-Desert Shrub-Steppe,1,,,
645,2,Columbia Basin Foothill and Canyon Dry Grassland,1,,,
646,2,Inter-Mountain Basins Semi-Desert Grassland,1,,,
647,2,Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland,1,,,
648,2,Northern Rocky Mountain Subalpine-Upper Montane Grassland,1,,,
649,2,Columbia Basin Palouse Prairie,1,,,
650,2,Rocky Mountain Alpine Fell-Field,1,,,
651,2,Rocky Mountain Subalpine-Montane Mesic Meadow,2,,,
652,2,Inter-Mountain Basins Greasewood Flat,1,,,
653,2,Inter-Mountain Basins Montane Riparian Systems,4,,,
654,2,Rocky Mountain Montane Riparian Systems,4,,,
655,2,Rocky Mountain Subalpine/Upper Montane Riparian Systems,4,,,
656,2,Northern Rocky Mountain Conifer Swamp,4,,,
657,2,Northern Rocky Mountain Foothill Conifer Wooded Steppe,2,,,
658,2,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland,2,,,
659,2,Rocky Mountain Poor-Site Lodgepole Pine Forest,2,,,
660,2,Inter-Mountain Basins Sparsely Vegetated Systems,0,,,
661,2,Columbia Plateau Western Juniper Woodland and Savanna,2,,,
662,2,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest,2,,,
663,2,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest,2,,,
664,2,Northern Rocky Mountain Ponderosa Pine Woodland and Savanna - Mesic,2,,,
665,2,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,2,,,
666,2,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,2,,,
667,2,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland,3,,,
668,2,Columbia Plateau Scabland Shrubland,1,,,
669,2,Inter-Mountain Basins Big Sagebrush Shrubland,2,,,
670,2,Inter-Mountain Basins Mixed Salt Desert Scrub,1,,,
671,2,Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,3,,,
672,2,Columbia Plateau Steppe and Grassland,1,,,
673,2,Columbia Plateau Low Sagebrush Steppe,1,,,
674,2,Inter-Mountain Basins Big Sagebrush Steppe,2,,,
675,2,Inter-Mountain Basins Montane Sagebrush Steppe,2,,,
676,2,Inter-Mountain Basins Semi-Desert Shrub-Steppe,1,,,
677,2,Columbia Basin Foothill and Canyon Dry Grassland,1,,,
678,2,Inter-Mountain Basins Semi-Desert Grassland,1,,,
679,2,Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland,1,,,
680,2,Columbia Basin Palouse Prairie,1,,,
681,2,Inter-Mountain Basins Greasewood Flat,1,,,
682,2,Inter-Mountain Basins Montane Riparian Systems,4,,,
683,2,Rocky Mountain Montane Riparian Systems,4,,,
684,2,Rocky Mountain Subalpine/Upper Montane Riparian Systems,4,,,
685,2,Northern Rocky Mountain Foothill Conifer Wooded Steppe,2,,,
686,2,Rocky Mountain Aspen Forest and Woodland,4,,,
687,2,Rocky Mountain Bigtooth Maple Ravine Woodland,3,,,
688,2,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest,2,,,
689,2,Northern Rocky Mountain Subalpine Woodland and Parkland,2,,,
690,2,Rocky Mountain Foothill Limber Pine-Juniper Woodland,2,,,
691,2,Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland,2,,,
692,2,Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland,3,,,
693,2,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,2,,,
694,2,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,2,,,
695,2,Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland,2,,,
696,2,Rocky Mountain Alpine Dwarf-Shrubland,1,,,
697,2,Inter-Mountain Basins Big Sagebrush Shrubland - Basin Big Sagebrush,2,,,
698,2,Inter-Mountain Basins Big Sagebrush Shrubland - Wyoming Big Sagebrush,2,,,
699,2,Inter-Mountain Basins Mixed Salt Desert Scrub,1,,,
700,2,Rocky Mountain Lower Montane-Foothill Shrubland,3,,,
701,2,Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,3,,,
702,2,Inter-Mountain Basins Juniper Savanna,2,,,
703,2,Columbia Plateau Low Sagebrush Steppe,1,,,
704,2,Inter-Mountain Basins Montane Sagebrush Steppe,2,,,
705,2,Inter-Mountain Basins Semi-Desert Shrub-Steppe,1,,,
706,2,Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland,1,,,
707,2,Northern Rocky Mountain Subalpine-Upper Montane Grassland,1,,,
708,2,Rocky Mountain Alpine Fell-Field,1,,,
709,2,Rocky Mountain Alpine Turf,1,,,
710,2,Rocky Mountain Subalpine-Montane Mesic Meadow,4,,,
711,2,Inter-Mountain Basins Greasewood Flat,1,,,
712,2,Rocky Mountain Montane Riparian Systems,4,,,
713,2,Rocky Mountain Subalpine/Upper Montane Riparian Systems,4,,,
714,2,Northern Rocky Mountain Conifer Swamp,4,,,
715,2,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland,2,,,
716,2,Rocky Mountain Poor-Site Lodgepole Pine Forest,2,,,
717,2,Inter-Mountain Basins Sparsely Vegetated Systems,0,,,
718,2,North Pacific Sparsely Vegetated Systems,0,,,
719,2,Rocky Mountain Alpine/Montane Sparsely Vegetated Systems,0,,,
720,2,North Pacific Oak Woodland,2,,,
721,2,East Cascades Mesic Montane Mixed-Conifer Forest and Woodland,2,,,
722,2,North Pacific Dry Douglas-fir(-Madrone) Forest and Woodland,2,,,
723,2,North Pacific Hypermaritime Sitka Spruce Forest,2,,,
724,2,North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,2,,,
725,2,North Pacific Maritime Mesic Subalpine Parkland,2,,,
726,2,North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,2,,,
727,2,North Pacific Mountain Hemlock Forest - Wet,2,,,
728,2,North Pacific Mountain Hemlock Forest - Xeric,2,,,
729,2,North Pacific Mesic Western Hemlock-Silver Fir Forest,2,,,
730,2,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest,2,,,
731,2,Northern Rocky Mountain Subalpine Woodland and Parkland,2,,,
732,2,Northern Rocky Mountain Ponderosa Pine Woodland and Savanna - Mesic,2,,,
733,2,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,2,,,
734,2,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,2,,,
735,2,East Cascades Oak-Ponderosa Pine Forest and Woodland,2,,,
736,2,North Pacific Broadleaf Landslide Forest and Shrubland,3,,,
737,2,Columbia Plateau Scabland Shrubland,1,,,
738,2,North Pacific Dry and Mesic Alpine Dwarf-Shrubland or Fell-field or Meadow,1,,,
739,2,Inter-Mountain Basins Big Sagebrush Shrubland,2,,,
740,2,North Pacific Avalanche Chute Shrubland,2,,,
741,2,North Pacific Montane Shrubland,1,,,
742,2,Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,1,,,
743,2,Willamette Valley Upland Prairie and Savanna,2,,,
744,2,Columbia Plateau Steppe and Grassland,1,,,
745,2,Columbia Plateau Low Sagebrush Steppe,1,,,
746,2,Inter-Mountain Basins Big Sagebrush Steppe,2,,,
747,2,Inter-Mountain Basins Montane Sagebrush Steppe,1,,,
748,2,North Pacific Montane Grassland,1,,,
749,2,Inter-Mountain Basins Montane Riparian Systems,4,,,
750,2,North Pacific Lowland Riparian Forest and Shrubland,4,,,
751,2,North Pacific Swamp Systems,3,,,
752,2,North Pacific Montane Riparian Woodland and Shrubland - Wet,3,,,
753,2,North Pacific Montane Riparian Woodland and Shrubland - Dry,4,,,
754,2,Northern Rocky Mountain Foothill Conifer Wooded Steppe,2,,,
755,2,Rocky Mountain Poor-Site Lodgepole Pine Forest,2,,,
756,2,North Pacific Alpine and Subalpine Dry Grassland,1,,,
757,2,North Pacific Wooded Volcanic Flowage,2,,,
758,2,North Pacific Dry-Mesic Silver Fir-Western Hemlock-Douglas-fir Forest,2,,,
759,2,North Pacific Hypermaritime Western Red-cedar-Western Hemlock Forest,2,,,
760,2,North Pacific Oak Woodland,3,,,
761,2,California Coastal Redwood Forest,2,,,
762,2,Klamath-Siskiyou Lower Montane Serpentine Mixed Conifer Woodland,2,,,
763,2,Klamath-Siskiyou Upper Montane Serpentine Mixed Conifer Woodland,2,,,
764,2,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,2,,,
765,2,Mediterranean California Mesic Mixed Conifer Forest and Woodland,2,,,
766,2,Mediterranean California Mixed Oak Woodland,3,,,
767,2,Mediterranean California Lower Montane Black Oak-Conifer Forest and Woodland,2,,,
768,2,California Montane Jeffrey Pine(-Ponderosa Pine) Woodland,2,,,
769,2,Mediterranean California Red Fir Forest,2,,,
770,2,North Pacific Dry Douglas-fir(-Madrone) Forest and Woodland,2,,,
771,2,North Pacific Hypermaritime Sitka Spruce Forest,2,,,
772,2,North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,2,,,
773,2,North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,2,,,
774,2,Mediterranean California Mixed Evergreen Forest,2,,,
775,2,East Cascades Oak-Ponderosa Pine Forest and Woodland,2,,,
776,2,North Pacific Broadleaf Landslide Forest and Shrubland,4,,,
777,2,Willamette Valley Upland Prairie and Savanna,2,,,
778,2,Northern California Coastal Scrub,1,,,
779,2,California Northern Coastal Grassland,1,,,
780,2,California Montane Riparian Systems,4,,,
781,2,North Pacific Lowland Riparian Forest and Shrubland,4,,,
782,2,North Pacific Swamp Systems,3,,,
