
VBET Version 0.8.6 high disk  (id:65d3c65b-69b0-46d9-88d2-4a34612624b5)
=================================================================
VBET HUC8s and huc10
createdOn: Dec 15, 2022 23:25:33 (1671146733712)
updatedOn: Jan 04, 2023 17:13:38 (1672852418584)

STOPPED: (1)
05140201

SUCCEEDED: (38)
07020005, 1019000209, 16010202, 16010203, 0705000202, 1019000402, 10030201, 10190005, 10190004, 07050002, 06010202, 10190003, 0514020112, 1601020204, 17060304, 0601020704, 1005001505, 16010201, 0502000405, 0601020203, 1601020101, 1601020303, 05010003, 0501000301, 0504000306, 1003020102, 1601020201, 05040003, 1019000309, 05020004, 1019001003, 1019000507, 0702000504, 1706030402, 06010207, 10190010, 10190002, 10050015

Jobs:
----------------
jobname	taskname	status	cpu	memory	ellapsedS	startedOn	endedOn	logUrl	jobid	taskid
VBET Version 0.8.6 high disk	1601020303	SUCCEEDED	4096	30720	2874.636	1671146845689	1671149720325	https://us-west-2.console.aws.amazon.com/cloudwatch/home?region=us-west-2#logsV2:log-groups/log-group/CybercastorLogs_prod/log-events/ecs$252FCybercastorEngine_rstools_prod$252Frstools$252F8e3617e04c2c43fb89aae8240b55a739	65d3c65b-69b0-46d9-88d2-4a34612624b5	a2d8efd9-baa0-48ea-852d-d06bc58acba2
VBET Version 0.8.6 high disk	05010003	SUCCEEDED	4096	30720	56309.019	1671146841783	1671203150802	https://us-west-2.console.aws.amazon.com/cloudwatch/home?region=us-west-2#logsV2:log-groups/log-group/CybercastorLogs_prod/log-events/ecs$252FCybercastorEngine_rstools_prod$252Frstools$252Fdb3af2f6647d422499f7ba5a5e0b0e97	65d3c65b-69b0-46d9-88d2-4a34612624b5	44336dd8-32a4-46ef-84b3-038cdc36b797
VBET Version 0.8.6 high disk	0501000301	SUCCEEDED	4096	30720	2335.324	1671146838244	1671149173568	https://us-west-2.console.aws.amazon.com/cloudwatch/home?region=us-west-2#logsV2:log-groups/log-group/CybercastorLogs_prod/log-events/ecs$252FCybercastorEngine_rstools_prod$252Frstools$252Fab0ed1c85d87406ca12840a091d33da7	65d3c65b-69b0-46d9-88d2-4a34612624b5	0bf4d9e4-792d-4aa5-bd26-96a121ab9801
VBET Version 0.8.6 high disk	0504000306	SUCCEEDED	4096	30720	2614.071	1671146834699	1671149448770	https://us-west-2.console.aws.amazon.com/cloudwatch/home?region=us-west-2#logsV2:log-groups/log-group/CybercastorLogs_prod/log-events/ecs$252FCybercastorEngine_rstools_prod$252Frstools$252Ff124bbb875374b37b3cfa9a764d1b2a5	65d3c65b-69b0-46d9-88d2-4a34612624b5	f7bf613e-1192-4158-ae09-be7264c910a7
VBET Version 0.8.6 high disk	1003020102	SUCCEEDED	4096	30720	4491.77	1671146841882	1671151333652	https://us-west-2.console.aws.amazon.com/cloudwatch/home?region=us-west-2#logsV2:log-groups/log-group/CybercastorLogs_prod/log-events/ecs$252FCybercastorEngine_rstools_prod$252Frstools$252F86e706eb30b24067b50b7d6355deff77	65d3c65b-69b0-46d9-88d2-4a34612624b5	56696f8a-7871-4b14-b80c-f0fa49a4d52e
VBET Version 0.8.6 high disk	1601020201	SUCCEEDED	4096	30720	824.364	1671146847345	1671147671709	https://us-west-2.console.aws.amazon.com/cloudwatch/home?region=us-west-2#logsV2:log-groups/log-group/CybercastorLogs_prod/log-events/ecs$252FCybercastorEngine_rstools_prod$252Frstools$252F23157510cf2c4abbb422db403bc149c1	65d3c65b-69b0-46d9-88d2-4a34612624b5	a72b80e5-0bb7-49f4-b969-b2990dfe5234
VBET Version 0.8.6 high disk	05040003	SUCCEEDED	4096	30720	44023.339	1671146843844	1671190867183	https://us-west-2.console.aws.amazon.com/cloudwatch/home?region=us-west-2#logsV2:log-groups/log-group/CybercastorLogs_prod/log-events/ecs$252FCybercastorEngine_rstools_prod$252Frstools$252F255ef7e0d4cd4f3b9115e675237e31c0	65d3c65b-69b0-46d9-88d2-4a34612624b5	3f38cfe3-afbd-4e5e-8c47-e86abfffbf0e
VBET Version 0.8.6 high disk	1019000309	SUCCEEDED	4096	30720	5157.723	1671146840636	1671151998359	https://us-west-2.console.aws.amazon.com/cloudwatch/home?region=us-west-2#logsV2:log-groups/log-group/CybercastorLogs_prod/log-events/ecs$252FCybercastorEngine_rstools_prod$252Frstools$252F37e8a59d1ea343fc96b73b83ad2332d1	65d3c65b-69b0-46d9-88d2-4a34612624b5	9988d486-b260-4db6-be35-df257b8cc726
VBET Version 0.8.6 high disk	05020004	SUCCEEDED	4096	30720	41791.009	1671146844531	1671188635540	https://us-west-2.console.aws.amazon.com/cloudwatch/home?region=us-west-2#logsV2:log-groups/log-group/CybercastorLogs_prod/log-events/ecs$252FCybercastorEngine_rstools_prod$252Frstools$252Ff222352ec197488e885f0344a537bcf0	65d3c65b-69b0-46d9-88d2-4a34612624b5	76eba519-8320-4bfa-add1-ac3a079892c5
VBET Version 0.8.6 high disk	1019001003	SUCCEEDED	4096	30720	3711.947	1671146834476	1671150546423	https://us-west-2.console.aws.amazon.com/cloudwatch/home?region=us-west-2#logsV2:log-groups/log-group/CybercastorLogs_prod/log-events/ecs$252FCybercastorEngine_rstools_prod$252Frstools$252F7d3ce495df8d4344b6ace6f78a1874af	65d3c65b-69b0-46d9-88d2-4a34612624b5	68bced85-d91a-47d3-9848-607bedb08067
VBET Version 0.8.6 high disk	1019000507	SUCCEEDED	4096	30720	3903.852	1671146840816	1671150744668	https://us-west-2.console.aws.amazon.com/cloudwatch/home?region=us-west-2#logsV2:log-groups/log-group/CybercastorLogs_prod/log-events/ecs$252FCybercastorEngine_rstools_prod$252Frstools$252F4a7279766e324d91975405cc1c44afc0	65d3c65b-69b0-46d9-88d2-4a34612624b5	6df451d6-89eb-4da1-9426-e3f0fc7765bd
VBET Version 0.8.6 high disk	0702000504	SUCCEEDED	4096	30720	2267.193	1671146835572	1671149102765	https://us-west-2.console.aws.amazon.com/cloudwatch/home?region=us-west-2#logsV2:log-groups/log-group/CybercastorLogs_prod/log-events/ecs$252FCybercastorEngine_rstools_prod$252Frstools$252F85e7f1bb375c4d2fa936dec6236b9c05	65d3c65b-69b0-46d9-88d2-4a34612624b5	99930e6d-0490-4727-98dd-888f4ccd62ae
VBET Version 0.8.6 high disk	1706030402	SUCCEEDED	4096	30720	1189.884	1671146857372	1671148047256	https://us-west-2.console.aws.amazon.com/cloudwatch/home?region=us-west-2#logsV2:log-groups/log-group/CybercastorLogs_prod/log-events/ecs$252FCybercastorEngine_rstools_prod$252Frstools$252F5bfe823ad6f541bf829e01ca6dc8e3c5	65d3c65b-69b0-46d9-88d2-4a34612624b5	c2f756f1-948f-4209-b056-24dec6b7010c
VBET Version 0.8.6 high disk	06010207	SUCCEEDED	4096	30720	29815.956	1671146842182	1671176658138	https://us-west-2.console.aws.amazon.com/cloudwatch/home?region=us-west-2#logsV2:log-groups/log-group/CybercastorLogs_prod/log-events/ecs$252FCybercastorEngine_rstools_prod$252Frstools$252F9d97796c9b8140e39fb2e41d4ebccc98	65d3c65b-69b0-46d9-88d2-4a34612624b5	a6d9b393-fa18-4e48-a8d2-e99e8972ae38
VBET Version 0.8.6 high disk	10190010	SUCCEEDED	4096	30720	21152.678	1671146836128	1671167988806	https://us-west-2.console.aws.amazon.com/cloudwatch/home?region=us-west-2#logsV2:log-groups/log-group/CybercastorLogs_prod/log-events/ecs$252FCybercastorEngine_rstools_prod$252Frstools$252F6f0762f783d04cf1a880a991b2b17a4b	65d3c65b-69b0-46d9-88d2-4a34612624b5	c6b2ac29-1cba-41c7-a222-9ac12af24d1d
VBET Version 0.8.6 high disk	10190002	SUCCEEDED	4096	30720	376090.856	1671146836227	1671522927083	https://us-west-2.console.aws.amazon.com/cloudwatch/home?region=us-west-2#logsV2:log-groups/log-group/CybercastorLogs_prod/log-events/ecs$252FCybercastorEngine_rstools_prod$252Frstools$252F06ecddcf251345c3aed3c3cfb1a944a6	65d3c65b-69b0-46d9-88d2-4a34612624b5	cbb18a8d-d0c6-436d-9f10-40b02e8b9842
VBET Version 0.8.6 high disk	10050015	SUCCEEDED	4096	30720	56994.596	1671146864168	1671203858764	https://us-west-2.console.aws.amazon.com/cloudwatch/home?region=us-west-2#logsV2:log-groups/log-group/CybercastorLogs_prod/log-events/ecs$252FCybercastorEngine_rstools_prod$252Frstools$252Ff66b35884d63416498abece07c3adb38	65d3c65b-69b0-46d9-88d2-4a34612624b5	a9847237-b208-4419-9580-0ca851eee4af
