VegetationID,Name,Physiognomy,Notes
654,Rocky Mountain Montane Riparian Systems,Riparian,
655,Rocky Mountain Subalpine/Upper Montane Riparian Systems,Riparian,
656,Northern Rocky Mountain Conifer Swamp,Conifer,
657,Northern Rocky Mountain Foothill Conifer Wooded Steppe,Conifer,
658,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland,Conifer,
659,Rocky Mountain Poor-Site Lodgepole Pine Forest,Conifer,
660,Inter-Mountain Basins Sparsely Vegetated Systems,Sparse,
661,Columbia Plateau Western Juniper Woodland and Savanna,Conifer,
662,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest,Conifer,
663,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest,Conifer,
664,Northern Rocky Mountain Ponderosa Pine Woodland and Savanna-Mesic,Conifer,
665,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,Conifer,
666,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,Conifer,
667,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland,Hardwood-Conifer,
668,Columbia Plateau Scabland Shrubland,Shrubland,
669,Inter-Mountain Basins Big Sagebrush Shrubland,Shrubland,
670,Inter-Mountain Basins Mixed Salt Desert Scrub,Shrubland,
671,Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,Shrubland,
672,Columbia Plateau Steppe and Grassland,Grassland,
673,Columbia Plateau Low Sagebrush Steppe,Shrubland,
674,Inter-Mountain Basins Big Sagebrush Steppe,Shrubland,
675,Inter-Mountain Basins Montane Sagebrush Steppe,Shrubland,
676,Inter-Mountain Basins Semi-Desert Shrub-Steppe,Shrubland,
677,Columbia Basin Foothill and Canyon Dry Grassland,Grassland,
678,Inter-Mountain Basins Semi-Desert Grassland,Grassland,
679,Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland,Grassland,
680,Columbia Basin Palouse Prairie,Grassland,
681,Inter-Mountain Basins Greasewood Flat,Shrubland,
682,Inter-Mountain Basins Montane Riparian Systems,Riparian,
683,Rocky Mountain Montane Riparian Systems,Riparian,
684,Rocky Mountain Subalpine/Upper Montane Riparian Systems,Riparian,
685,Northern Rocky Mountain Foothill Conifer Wooded Steppe,Conifer,
686,Rocky Mountain Aspen Forest and Woodland,Hardwood,
687,Rocky Mountain Bigtooth Maple Ravine Woodland,Hardwood,
688,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest,Conifer,
689,Northern Rocky Mountain Subalpine Woodland and Parkland,Conifer,
690,Rocky Mountain Foothill Limber Pine-Juniper Woodland,Conifer,
691,Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland,Conifer,
692,Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland,Conifer,
693,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,Conifer,
694,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,Conifer,
695,Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland,Shrubland,
696,Rocky Mountain Alpine Dwarf-Shrubland,Shrubland,
697,Inter-Mountain Basins Big Sagebrush Shrubland-Basin Big Sagebrush,Shrubland,
698,Inter-Mountain Basins Big Sagebrush Shrubland-Wyoming Big Sagebrush,Shrubland,
699,Inter-Mountain Basins Mixed Salt Desert Scrub,Shrubland,
700,Rocky Mountain Lower Montane-Foothill Shrubland,Shrubland,
701,Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,Shrubland,
702,Inter-Mountain Basins Juniper Savanna,Conifer,
703,Columbia Plateau Low Sagebrush Steppe,Shrubland,
704,Inter-Mountain Basins Montane Sagebrush Steppe,Shrubland,
705,Inter-Mountain Basins Semi-Desert Shrub-Steppe,Shrubland,
706,Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland,Grassland,
707,Northern Rocky Mountain Subalpine-Upper Montane Grassland,Grassland,
708,Rocky Mountain Alpine Fell-Field,Grassland,
709,Rocky Mountain Alpine Turf,Grassland,
710,Rocky Mountain Subalpine-Montane Mesic Meadow,Grassland,
711,Inter-Mountain Basins Greasewood Flat,Shrubland,
712,Rocky Mountain Montane Riparian Systems,Riparian,
713,Rocky Mountain Subalpine/Upper Montane Riparian Systems,Riparian,
714,Northern Rocky Mountain Conifer Swamp,Conifer,
715,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland,Conifer,
716,Rocky Mountain Poor-Site Lodgepole Pine Forest,Conifer,
717,Inter-Mountain Basins Sparsely Vegetated Systems,Sparse,
718,North Pacific Sparsely Vegetated Systems,Sparse,
719,Rocky Mountain Alpine/Montane Sparsely Vegetated Systems,Sparse,
720,North Pacific Oak Woodland,Hardwood,
721,East Cascades Mesic Montane Mixed-Conifer Forest and Woodland,Conifer,
722,North Pacific Dry Douglas-fir(-Madrone) Forest and Woodland,Conifer,
723,North Pacific Hypermaritime Sitka Spruce Forest,Conifer,
724,North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,Conifer,
725,North Pacific Maritime Mesic Subalpine Parkland,Conifer,
726,North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,Conifer,
727,North Pacific Mountain Hemlock Forest-Wet,Conifer,
728,North Pacific Mountain Hemlock Forest-Xeric,Conifer,
729,North Pacific Mesic Western Hemlock-Silver Fir Forest,Conifer,
730,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest,Conifer,
731,Northern Rocky Mountain Subalpine Woodland and Parkland,Conifer,
732,Northern Rocky Mountain Ponderosa Pine Woodland and Savanna-Mesic,Conifer,
733,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,Conifer,
734,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,Conifer,
735,East Cascades Oak-Ponderosa Pine Forest and Woodland,Conifer,
736,North Pacific Broadleaf Landslide Forest and Shrubland,Hardwood,
737,Columbia Plateau Scabland Shrubland,Shrubland,
738,North Pacific Dry and Mesic Alpine Dwarf-Shrubland or Fell-field or Meadow,Shrubland,
739,Inter-Mountain Basins Big Sagebrush Shrubland,Shrubland,
740,North Pacific Avalanche Chute Shrubland,Shrubland,
741,North Pacific Montane Shrubland,Shrubland,
742,Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,Shrubland,
743,Willamette Valley Upland Prairie and Savanna,Hardwood,
744,Columbia Plateau Steppe and Grassland,Grassland,
745,Columbia Plateau Low Sagebrush Steppe,Shrubland,
746,Inter-Mountain Basins Big Sagebrush Steppe,Shrubland,
747,Inter-Mountain Basins Montane Sagebrush Steppe,Shrubland,
748,North Pacific Montane Grassland,Grassland,
749,Inter-Mountain Basins Montane Riparian Systems,Riparian,
750,North Pacific Lowland Riparian Forest and Shrubland,Riparian,
751,North Pacific Swamp Systems,Riparian,
752,North Pacific Montane Riparian Woodland and Shrubland-Wet,Riparian,
753,North Pacific Montane Riparian Woodland and Shrubland-Dry,Riparian,
754,Northern Rocky Mountain Foothill Conifer Wooded Steppe,Conifer,
755,Rocky Mountain Poor-Site Lodgepole Pine Forest,Conifer,
756,North Pacific Alpine and Subalpine Dry Grassland,Grassland,
757,North Pacific Wooded Volcanic Flowage,Conifer,
758,North Pacific Dry-Mesic Silver Fir-Western Hemlock-Douglas-fir Forest,Conifer,
759,North Pacific Hypermaritime Western Red-cedar-Western Hemlock Forest,Conifer,
760,North Pacific Oak Woodland,Hardwood,
761,California Coastal Redwood Forest,Conifer,
762,Klamath-Siskiyou Lower Montane Serpentine Mixed Conifer Woodland,Conifer,
763,Klamath-Siskiyou Upper Montane Serpentine Mixed Conifer Woodland,Conifer,
764,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,Conifer,
